name,top_n,stop_loss_pct,min_trend,dd_exit,train_cagr,train_sharpe,train_maxdd,test_cagr,test_sharpe,test_maxdd,sharpe_decay,maxdd_inflate,test_inv_pct,test_positive
T3_Stop8_Trend3_DD15,3,-8,3,15,-0.88,-0.064,18.7,-3.35,-0.179,22.85,-1.806,22.15,100.0,0
T3_Stop8_Trend3_DD20,3,-8,3,20,12.39,0.599,27.35,-3.35,-0.179,22.85,1.299,-16.45,100.0,0
T3_Stop8_Trend3_DD25,3,-8,3,25,12.39,0.599,27.35,-5.27,-0.309,28.8,1.515,5.31,100.0,0
T3_Stop8_Trend4_DD15,3,-8,4,15,-1.15,-0.101,18.82,-4.12,-0.532,15.49,-4.257,-17.68,100.0,0
T3_Stop8_Trend4_DD20,3,-8,4,20,-1.49,-0.143,20.78,-7.01,-0.399,28.76,-1.783,38.36,100.0,0
T3_Stop8_Trend4_DD25,3,-8,4,25,12.43,0.603,27.12,-7.01,-0.399,28.76,1.663,6.03,100.0,0
T3_Stop10_Trend3_DD15,3,-10,3,15,-0.88,-0.064,18.7,-3.35,-0.179,22.85,-1.804,22.15,100.0,0
T3_Stop10_Trend3_DD20,3,-10,3,20,12.39,0.599,27.35,-3.35,-0.179,22.85,1.299,-16.45,100.0,0
T3_Stop10_Trend3_DD25,3,-10,3,25,12.39,0.599,27.35,-5.27,-0.309,28.8,1.515,5.31,100.0,0
T3_Stop10_Trend4_DD15,3,-10,4,15,-1.15,-0.101,18.82,-4.12,-0.532,15.49,-4.254,-17.68,100.0,0
T3_Stop10_Trend4_DD20,3,-10,4,20,-1.49,-0.143,20.78,-7.01,-0.399,28.76,-1.783,38.36,100.0,0
T3_Stop10_Trend4_DD25,3,-10,4,25,12.43,0.603,27.12,-7.01,-0.399,28.76,1.663,6.03,100.0,0
T3_Stop15_Trend3_DD15,3,-15,3,15,-0.88,-0.064,18.7,-3.35,-0.179,22.83,-1.8,22.09,100.0,0
T3_Stop15_Trend3_DD20,3,-15,3,20,12.39,0.599,27.35,-3.35,-0.179,22.83,1.298,-16.49,100.0,0
T3_Stop15_Trend3_DD25,3,-15,3,25,12.39,0.599,27.35,-5.27,-0.308,28.79,1.515,5.27,100.0,0
T3_Stop15_Trend4_DD15,3,-15,4,15,-1.15,-0.101,18.82,-4.12,-0.532,15.49,-4.254,-17.68,100.0,0
T3_Stop15_Trend4_DD20,3,-15,4,20,-1.49,-0.143,20.78,-7.01,-0.399,28.74,-1.781,38.31,100.0,0
T3_Stop15_Trend4_DD25,3,-15,4,25,12.43,0.603,27.12,-7.01,-0.399,28.74,1.662,5.99,100.0,0
T5_Stop8_Trend3_DD15,5,-8,3,15,11.85,0.691,14.99,2.35,0.238,15.16,0.655,1.16,100.0,1
T5_Stop8_Trend3_DD20,5,-8,3,20,10.83,0.612,20.28,-0.66,0.029,24.71,0.953,21.85,100.0,0
T5_Stop8_Trend3_DD25,5,-8,3,25,9.2,0.532,28.1,-1.62,-0.035,27.56,1.066,-1.93,100.0,0
T5_Stop8_Trend4_DD15,5,-8,4,15,15.24,0.825,15.87,-4.63,-0.506,17.26,1.613,8.74,100.0,0
T5_Stop8_Trend4_DD20,5,-8,4,20,14.11,0.767,21.48,-1.21,-0.001,20.25,1.001,-5.73,100.0,0
T5_Stop8_Trend4_DD25,5,-8,4,25,35.27,1.114,21.48,-3.58,-0.144,27.63,1.129,28.62,100.0,0
T5_Stop10_Trend3_DD15,5,-10,3,15,11.85,0.692,14.98,2.35,0.238,15.16,0.655,1.22,100.0,1
T5_Stop10_Trend3_DD20,5,-10,3,20,10.83,0.612,20.27,-0.66,0.029,24.71,0.953,21.91,100.0,0
T5_Stop10_Trend3_DD25,5,-10,3,25,9.2,0.532,28.09,-1.62,-0.035,27.56,1.066,-1.9,100.0,0
T5_Stop10_Trend4_DD15,5,-10,4,15,15.24,0.825,15.87,-4.63,-0.506,17.26,1.613,8.74,100.0,0
T5_Stop10_Trend4_DD20,5,-10,4,20,14.11,0.767,21.48,-1.21,-0.001,20.25,1.001,-5.73,100.0,0
T5_Stop10_Trend4_DD25,5,-10,4,25,35.27,1.114,21.48,-3.58,-0.144,27.63,1.129,28.62,100.0,0
T5_Stop15_Trend3_DD15,5,-15,3,15,11.85,0.692,14.98,2.35,0.238,15.16,0.655,1.21,100.0,1
T5_Stop15_Trend3_DD20,5,-15,3,20,10.83,0.612,20.27,-0.66,0.029,24.71,0.953,21.9,100.0,0
T5_Stop15_Trend3_DD25,5,-15,3,25,9.2,0.532,28.09,-1.61,-0.035,27.55,1.066,-1.91,100.0,0
T5_Stop15_Trend4_DD15,5,-15,4,15,15.24,0.825,15.87,-4.63,-0.506,17.26,1.613,8.74,100.0,0
T5_Stop15_Trend4_DD20,5,-15,4,20,14.11,0.767,21.48,-1.2,-0.001,20.25,1.001,-5.74,100.0,0
T5_Stop15_Trend4_DD25,5,-15,4,25,35.27,1.114,21.48,-3.57,-0.144,27.63,1.129,28.61,100.0,0
T8_Stop8_Trend3_DD15,8,-8,3,15,12.48,0.859,16.49,-4.06,-0.506,15.28,1.589,-7.33,100.0,0
T8_Stop8_Trend3_DD20,8,-8,3,20,11.59,0.798,21.0,0.03,0.076,20.02,0.905,-4.69,100.0,1
T8_Stop8_Trend3_DD25,8,-8,3,25,10.17,0.705,27.77,-2.54,-0.069,27.91,1.098,0.51,100.0,0
T8_Stop8_Trend4_DD15,8,-8,4,15,13.89,0.936,16.66,-4.09,-0.506,15.39,1.541,-7.63,100.0,0
T8_Stop8_Trend4_DD20,8,-8,4,20,41.51,1.382,18.31,-0.71,0.019,20.3,0.986,10.92,100.0,0
T8_Stop8_Trend4_DD25,8,-8,4,25,41.51,1.382,18.31,-2.29,-0.058,25.28,1.042,38.1,100.0,0
T8_Stop10_Trend3_DD15,8,-10,3,15,12.48,0.86,16.49,-4.06,-0.506,15.28,1.589,-7.33,100.0,0
T8_Stop10_Trend3_DD20,8,-10,3,20,11.59,0.798,21.0,0.03,0.076,20.02,0.905,-4.69,100.0,1
T8_Stop10_Trend3_DD25,8,-10,3,25,10.17,0.705,27.77,-2.54,-0.069,27.91,1.098,0.52,100.0,0
T8_Stop10_Trend4_DD15,8,-10,4,15,13.89,0.936,16.66,-4.09,-0.506,15.39,1.541,-7.6,100.0,0
T8_Stop10_Trend4_DD20,8,-10,4,20,41.48,1.381,18.34,-0.71,0.019,20.3,0.986,10.69,100.0,0
T8_Stop10_Trend4_DD25,8,-10,4,25,41.48,1.381,18.34,-2.29,-0.058,25.28,1.042,37.82,100.0,0
T8_Stop15_Trend3_DD15,8,-15,3,15,12.48,0.86,16.49,-4.06,-0.506,15.28,1.589,-7.33,100.0,0
T8_Stop15_Trend3_DD20,8,-15,3,20,11.59,0.798,21.0,0.03,0.076,20.01,0.905,-4.7,100.0,1
T8_Stop15_Trend3_DD25,8,-15,3,25,10.17,0.705,27.77,-2.54,-0.069,27.91,1.097,0.53,100.0,0
T8_Stop15_Trend4_DD15,8,-15,4,15,13.89,0.936,16.66,-4.09,-0.506,15.39,1.541,-7.6,100.0,0
T8_Stop15_Trend4_DD20,8,-15,4,20,41.48,1.381,18.34,-0.7,0.019,20.3,0.986,10.68,100.0,0
T8_Stop15_Trend4_DD25,8,-15,4,25,41.48,1.381,18.34,-2.29,-0.058,25.28,1.042,37.81,100.0,0
